Problem:    formulacao
Rows:       182
Columns:    60 (60 integer, 60 binary)
Non-zeros:  480
Status:     INTEGER OPTIMAL
Objective:  cost = 7776 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 cost                     7776                             
     2 capacity                 7556                       10000 
     3 conflict[0,2]
                                   1                           1 
     4 conflict[0,22]
                                   1                           1 
     5 conflict[0,26]
                                   1                           1 
     6 conflict[0,32]
                                   1                           1 
     7 conflict[0,34]
                                   1                           1 
     8 conflict[0,43]
                                   1                           1 
     9 conflict[0,55]
                                   1                           1 
    10 conflict[0,56]
                                   1                           1 
    11 conflict[1,17]
                                   0                           1 
    12 conflict[1,25]
                                   1                           1 
    13 conflict[1,35]
                                   1                           1 
    14 conflict[1,43]
                                   0                           1 
    15 conflict[1,46]
                                   1                           1 
    16 conflict[1,50]
                                   0                           1 
    17 conflict[1,52]
                                   0                           1 
    18 conflict[2,16]
                                   1                           1 
    19 conflict[2,20]
                                   1                           1 
    20 conflict[2,23]
                                   0                           1 
    21 conflict[2,36]
                                   0                           1 
    22 conflict[2,51]
                                   1                           1 
    23 conflict[2,59]
                                   1                           1 
    24 conflict[3,5]
                                   0                           1 
    25 conflict[3,9]
                                   0                           1 
    26 conflict[3,16]
                                   1                           1 
    27 conflict[3,19]
                                   0                           1 
    28 conflict[3,36]
                                   0                           1 
    29 conflict[3,51]
                                   1                           1 
    30 conflict[3,55]
                                   0                           1 
    31 conflict[4,5]
                                   1                           1 
    32 conflict[4,12]
                                   1                           1 
    33 conflict[4,14]
                                   1                           1 
    34 conflict[4,36]
                                   1                           1 
    35 conflict[5,13]
                                   1                           1 
    36 conflict[5,30]
                                   1                           1 
    37 conflict[5,32]
                                   0                           1 
    38 conflict[5,57]
                                   0                           1 
    39 conflict[6,18]
                                   1                           1 
    40 conflict[6,45]
                                   1                           1 
    41 conflict[6,54]
                                   1                           1 
    42 conflict[6,55]
                                   1                           1 
    43 conflict[7,17]
                                   1                           1 
    44 conflict[8,10]
                                   1                           1 
    45 conflict[8,27]
                                   1                           1 
    46 conflict[9,16]
                                   1                           1 
    47 conflict[9,32]
                                   0                           1 
    48 conflict[9,41]
                                   1                           1 
    49 conflict[10,18]
                                   0                           1 
    50 conflict[10,19]
                                   0                           1 
    51 conflict[10,49]
                                   0                           1 
    52 conflict[10,50]
                                   0                           1 
    53 conflict[10,54]
                                   0                           1 
    54 conflict[11,15]
                                   0                           1 
    55 conflict[11,16]
                                   1                           1 
    56 conflict[11,24]
                                   1                           1 
    57 conflict[11,42]
                                   1                           1 
    58 conflict[12,14]
                                   0                           1 
    59 conflict[12,19]
                                   0                           1 
    60 conflict[12,28]
                                   0                           1 
    61 conflict[12,30]
                                   1                           1 
    62 conflict[12,41]
                                   1                           1 
    63 conflict[12,45]
                                   0                           1 
    64 conflict[13,21]
                                   1                           1 
    65 conflict[13,27]
                                   1                           1 
    66 conflict[13,45]
                                   1                           1 
    67 conflict[14,25]
                                   1                           1 
    68 conflict[14,35]
                                   1                           1 
    69 conflict[14,39]
                                   1                           1 
    70 conflict[14,55]
                                   0                           1 
    71 conflict[15,24]
                                   1                           1 
    72 conflict[15,32]
                                   0                           1 
    73 conflict[15,40]
                                   0                           1 
    74 conflict[15,52]
                                   0                           1 
    75 conflict[16,19]
                                   1                           1 
    76 conflict[16,26]
                                   1                           1 
    77 conflict[16,49]
                                   1                           1 
    78 conflict[17,22]
                                   0                           1 
    79 conflict[17,27]
                                   0                           1 
    80 conflict[17,28]
                                   0                           1 
    81 conflict[17,46]
                                   1                           1 
    82 conflict[17,51]
                                   1                           1 
    83 conflict[17,53]
                                   0                           1 
    84 conflict[17,54]
                                   0                           1 
    85 conflict[17,56]
                                   0                           1 
    86 conflict[17,57]
                                   0                           1 
    87 conflict[18,30]
                                   1                           1 
    88 conflict[18,32]
                                   0                           1 
    89 conflict[18,43]
                                   0                           1 
    90 conflict[18,44]
                                   0                           1 
    91 conflict[18,59]
                                   1                           1 
    92 conflict[19,24]
                                   1                           1 
    93 conflict[19,35]
                                   1                           1 
    94 conflict[19,38]
                                   0                           1 
    95 conflict[19,39]
                                   1                           1 
    96 conflict[20,22]
                                   1                           1 
    97 conflict[20,37]
                                   1                           1 
    98 conflict[20,52]
                                   1                           1 
    99 conflict[20,55]
                                   1                           1 
   100 conflict[20,57]
                                   1                           1 
