Problem:    formulacao
Rows:       3127
Columns:    250 (250 integer, 250 binary)
Non-zeros:  6750
Status:     INTEGER OPTIMAL
Objective:  cost = 559 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 cost                      559                             
     2 capacity                  148                         150 
     3 conflict[0,7]
                                   0                           1 
     4 conflict[0,12]
                                   0                           1 
     5 conflict[0,14]
                                   0                           1 
     6 conflict[0,19]
                                   0                           1 
     7 conflict[0,23]
                                   0                           1 
     8 conflict[0,27]
                                   0                           1 
     9 conflict[0,56]
                                   0                           1 
    10 conflict[0,64]
                                   0                           1 
    11 conflict[0,65]
                                   0                           1 
    12 conflict[0,66]
                                   0                           1 
    13 conflict[0,76]
                                   0                           1 
    14 conflict[0,89]
                                   0                           1 
    15 conflict[0,92]
                                   0                           1 
    16 conflict[0,101]
                                   0                           1 
    17 conflict[0,103]
                                   0                           1 
    18 conflict[0,116]
                                   0                           1 
    19 conflict[0,119]
                                   0                           1 
    20 conflict[0,122]
                                   0                           1 
    21 conflict[0,126]
                                   0                           1 
    22 conflict[0,128]
                                   0                           1 
    23 conflict[0,129]
                                   0                           1 
    24 conflict[0,137]
                                   0                           1 
    25 conflict[0,140]
                                   0                           1 
    26 conflict[0,165]
                                   0                           1 
    27 conflict[0,173]
                                   0                           1 
    28 conflict[0,190]
                                   0                           1 
    29 conflict[0,221]
                                   0                           1 
    30 conflict[0,228]
                                   0                           1 
    31 conflict[0,248]
                                   0                           1 
    32 conflict[1,3]
                                   0                           1 
    33 conflict[1,5]
                                   0                           1 
    34 conflict[1,10]
                                   0                           1 
    35 conflict[1,22]
                                   0                           1 
    36 conflict[1,26]
                                   0                           1 
    37 conflict[1,35]
                                   0                           1 
    38 conflict[1,77]
                                   0                           1 
    39 conflict[1,83]
                                   0                           1 
    40 conflict[1,90]
                                   0                           1 
    41 conflict[1,92]
                                   0                           1 
    42 conflict[1,102]
                                   0                           1 
    43 conflict[1,112]
                                   0                           1 
    44 conflict[1,115]
                                   0                           1 
    45 conflict[1,119]
                                   0                           1 
    46 conflict[1,146]
                                   0                           1 
    47 conflict[1,150]
                                   0                           1 
    48 conflict[1,167]
                                   0                           1 
    49 conflict[1,171]
                                   0                           1 
    50 conflict[1,173]
                                   0                           1 
    51 conflict[1,182]
                                   0                           1 
    52 conflict[1,183]
                                   0                           1 
    53 conflict[1,190]
                                   0                           1 
    54 conflict[1,197]
                                   0                           1 
    55 conflict[1,204]
                                   0                           1 
    56 conflict[1,209]
                                   0                           1 
    57 conflict[1,216]
                                   0                           1 
    58 conflict[1,221]
                                   0                           1 
    59 conflict[1,225]
                                   0                           1 
    60 conflict[1,226]
                                   0                           1 
    61 conflict[1,228]
                                   0                           1 
    62 conflict[1,237]
                                   0                           1 
    63 conflict[2,4]
                                   0                           1 
    64 conflict[2,35]
                                   0                           1 
    65 conflict[2,45]
                                   0                           1 
    66 conflict[2,71]
                                   0                           1 
    67 conflict[2,85]
                                   1                           1 
    68 conflict[2,87]
                                   0                           1 
    69 conflict[2,104]
                                   0                           1 
    70 conflict[2,106]
                                   0                           1 
    71 conflict[2,113]
                                   0                           1 
    72 conflict[2,129]
                                   0                           1 
    73 conflict[2,148]
                                   0                           1 
    74 conflict[2,153]
                                   0                           1 
    75 conflict[2,154]
                                   0                           1 
    76 conflict[2,155]
                                   0                           1 
    77 conflict[2,160]
                                   0                           1 
    78 conflict[2,170]
                                   0                           1 
    79 conflict[2,171]
                                   0                           1 
    80 conflict[2,180]
                                   0                           1 
    81 conflict[2,189]
                                   0                           1 
    82 conflict[2,199]
                                   1                           1 
    83 conflict[2,208]
                                   0                           1 
    84 conflict[2,217]
                                   0                           1 
    85 conflict[2,223]
                                   0                           1 
    86 conflict[2,232]
                                   0                           1 
    87 conflict[2,247]
                                   0                           1 
    88 conflict[2,248]
                                   0                           1 
    89 conflict[3,29]
                                   0                           1 
    90 conflict[3,31]
                                   0                           1 
    91 conflict[3,39]
                                   0                           1 
    92 conflict[3,42]
                                   0                           1 
    93 conflict[3,55]
                                   0                           1 
    94 conflict[3,57]
                                   0                           1 
    95 conflict[3,70]
                                   0                           1 
    96 conflict[3,74]
                                   0                           1 
    97 conflict[3,81]
                                   0                           1 
    98 conflict[3,115]
                                   0                           1 
    99 conflict[3,131]
                                   0                           1 
   100 conflict[3,139]
                                   0                           1 
   101 conflict[3,145]
                                   0                           1 
   102 conflict[3,149]
                                   0                           1 
   103 conflict[3,157]
                                   0                           1 
   104 conflict[3,163]
                                   0                           1 
   105 conflict[3,178]
                                   0                           1 
   106 conflict[3,182]
                                   0                           1 
   107 conflict[3,187]
                                   0                           1 
   108 conflict[3,189]
                                   0                           1 
   109 conflict[3,195]
                                   0                           1 
   110 conflict[3,209]
                                   0                           1 
   111 conflict[3,213]
                                   0                           1 
   112 conflict[3,214]
                                   0                           1 
   113 conflict[3,232]
                                   0                           1 
   114 conflict[3,239]
                                   0                           1 
   115 conflict[3,243]
                                   0                           1 
   116 conflict[4,13]
                                   0                           1 
   117 conflict[4,18]
                                   0                           1 
   118 conflict[4,32]
                                   0                           1 
   119 conflict[4,35]
                                   0                           1 
   120 conflict[4,41]
                                   0                           1 
   121 conflict[4,44]
                                   0                           1 
   122 conflict[4,67]
                                   0                           1 
   123 conflict[4,80]
                                   0                           1 
   124 conflict[4,95]
                                   0                           1 
   125 conflict[4,98]
                                   0                           1 
   126 conflict[4,115]
                                   0                           1 
   127 conflict[4,149]
                                   0                           1 
   128 conflict[4,178]
                                   0                           1 
   129 conflict[4,185]
                                   0                           1 
   130 conflict[4,234]
                                   0                           1 
   131 conflict[4,243]
                                   0                           1 
   132 conflict[5,14]
                                   0                           1 
   133 conflict[5,25]
                                   0                           1 
   134 conflict[5,29]
                                   0                           1 
   135 conflict[5,30]
                                   0                           1 
   136 conflict[5,37]
                                   0                           1 
   137 conflict[5,45]
                                   0                           1 
   138 conflict[5,57]
                                   0                           1 
   139 conflict[5,69]
                                   0                           1 
   140 conflict[5,78]
                                   0                           1 
   141 conflict[5,81]
                                   0                           1 
   142 conflict[5,82]
                                   0                           1 
   143 conflict[5,99]
                                   0                           1 
   144 conflict[5,104]
                                   0                           1 
   145 conflict[5,105]
                                   0                           1 
   146 conflict[5,111]
                                   0                           1 
   147 conflict[5,134]
                                   1                           1 
   148 conflict[5,145]
                                   0                           1 
   149 conflict[5,163]
                                   0                           1 
   150 conflict[5,164]
                                   1                           1 
   151 conflict[5,175]
                                   0                           1 
   152 conflict[5,178]
                                   0                           1 
   153 conflict[5,182]
                                   0                           1 
   154 conflict[5,196]
                                   0                           1 
   155 conflict[5,200]
                                   0                           1 
   156 conflict[5,202]
                                   0                           1 
   157 conflict[5,204]
                                   0                           1 
   158 conflict[5,214]
                                   0                           1 
   159 conflict[5,217]
                                   0                           1 
   160 conflict[5,218]
                                   0                           1 
   161 conflict[5,224]
                                   0                           1 
   162 conflict[5,242]
                                   0                           1 
   163 conflict[6,21]
                                   0                           1 
   164 conflict[6,33]
                                   0                           1 
   165 conflict[6,38]
                                   0                           1 
   166 conflict[6,45]
                                   0                           1 
   167 conflict[6,50]
                                   0                           1 
   168 conflict[6,55]
                                   0                           1 
   169 conflict[6,61]
                                   0                           1 
   170 conflict[6,68]
                                   0                           1 
   171 conflict[6,69]
                                   0                           1 
   172 conflict[6,90]
                                   0                           1 
   173 conflict[6,94]
